id,text,type,label,category
1,"Subject: Critical Alert: Unauthorized Transaction. We detected a transfer of ₦50,000 from your First Bank account. Cancel this transaction: https://verify-account-update.com",email,1,phishing_email
2,"Subject: Project Sync Minutes - Final Year Project. Hi team, thanks for joining the call today. Please review the attached action items and let me know if you have any questions.",email,0,legit_email
3,Final Notice: Your subscription to Amazon services expires today. Renew immediately: http://update-billing-support.net,sms,1,smishing_sms
4,"Subject: Project Sync Minutes - Computer Science 101. Hi team, thanks for joining the call today. Please review the attached action items and let me know if you have any questions.",email,0,legit_email
5,"Subject: Project Sync Minutes - Computer Science 101. Hi team, thanks for joining the call today. Please review the attached action items and let me know if you have any questions.",email,0,legit_email
6,"Subject: Project Sync Minutes - Software Engineering. Hi team, thanks for joining the call today. Please review the attached action items and let me know if you have any questions.",email,0,legit_email
7,Can you please send me the notes from yesterday's Database Design lecture?,sms,0,legit_sms
8,Don't forget to submit your assignment before the midnight deadline.,sms,0,legit_sms
9,"Subject: Refund Notification. You are eligible for a tax refund of $5,000. Click the secure link below to claim your funds: https://verify-account-update.com",email,1,phishing_email
10,"Subject: Weekly Status Report. Hello, here is my progress update for this week on the SIWES Report codebase and database schema.",email,0,legit_email
11,"Subject: Invoice #79352 - Payment Failed. Your recent payment of $10,000 for order #79352 could not be processed. Update your payment method here: http://verify-bank-details.net",email,1,phishing_email
12,"Dear customer, suspicious activity detected on Netflix profile. Confirm details here: http://verify-bank-details.net",sms,1,smishing_sms
13,"Subject: Weekly Status Report. Hello, here is my progress update for this week on the Database Design codebase and database schema.",email,0,legit_email
14,Security Alert: Someone tried logging into your Netflix account from a new device. Secure it: http://bit.ly/secure-login-34,sms,1,smishing_sms
15,"Subject: Invoice #96474 - Payment Failed. Your recent payment of ₦200,000 for order #96474 could not be processed. Update your payment method here: http://bit.ly/secure-login-34",email,1,phishing_email
16,"Alert: A payment of $5,000 was charged to your account. If this wasn't you, call +2349033344455",sms,1,smishing_sms
17,Don't forget to submit your assignment before the midnight deadline.,sms,0,legit_sms
18,Subject: Refund Notification. You are eligible for a tax refund of $500. Click the secure link below to claim your funds: http://bit.ly/secure-login-34,email,1,phishing_email
19,"Subject: Consultation Hours. Hi David, I am available for project consultation during office hours on next Monday. See you then.",email,0,legit_email
20,Subject: Schedule Update for Computer Science 101. Please note that our next class session has been moved to Friday afternoon in Room 402.,email,0,legit_email
21,Good morning! Let me know when you are ready to review the code.,sms,0,legit_sms
22,Can you please send me the notes from yesterday's Computer Science 101 lecture?,sms,0,legit_sms
23,Subject: Account Deactivation Warning. Your Apple account will be deactivated within 24 hours unless you confirm your billing details at https://claim-reward-now.co,email,1,phishing_email
24,Happy birthday Charlie! Wishing you a wonderful and blessed year ahead.,sms,0,legit_sms
25,"Subject: Project Sync Minutes - Database Design. Hi team, thanks for joining the call today. Please review the attached action items and let me know if you have any questions.",email,0,legit_email
26,Subject: Account Deactivation Warning. Your Bank of America account will be deactivated within 24 hours unless you confirm your billing details at http://track-package-delivery.info,email,1,phishing_email
27,Can you please send me the notes from yesterday's Software Engineering lecture?,sms,0,legit_sms
28,URGENT: Your Apple account is temporarily locked. Verify your identity immediately at http://track-package-delivery.info,sms,1,smishing_sms
29,"Subject: Project Sync Minutes - Software Engineering. Hi team, thanks for joining the call today. Please review the attached action items and let me know if you have any questions.",email,0,legit_email
30,"Subject: Project Sync Minutes - Software Engineering. Hi team, thanks for joining the call today. Please review the attached action items and let me know if you have any questions.",email,0,legit_email
31,"Subject: Assignment Submission: SIWES Report. Dear Professor, attached is my completed assignment for SIWES Report. Please confirm receipt. Best regards, Alice",email,0,legit_email
32,"Subject: Job Offer - Work from Home! Earn up to ₦50,000 weekly working flexible hours. No experience needed. Contact our recruiter via WhatsApp: +447911123456",email,1,phishing_email
33,"Subject: Urgent Security Notice from Wells Fargo Security Team. Dear User, we noticed unusual login attempts on your account. Please verify your credentials immediately to prevent permanent suspension: http://track-package-delivery.info",email,1,phishing_email
34,Subject: Schedule Update for Final Year Project. Please note that our next class session has been moved to 4:30 PM in Room 402.,email,0,legit_email
35,"Subject: Invoice #42527 - Payment Failed. Your recent payment of ₦50,000 for order #42527 could not be processed. Update your payment method here: https://claim-reward-now.co",email,1,phishing_email
36,"Dear customer, suspicious activity detected on PayPal profile. Confirm details here: http://verify-bank-details.net",sms,1,smishing_sms
37,"Subject: Urgent Security Notice from Access Bank Security Team. Dear User, we noticed unusual login attempts on your account. Please verify your credentials immediately to prevent permanent suspension: https://claim-reward-now.co",email,1,phishing_email
38,"Hey Alice, are we still meeting for lunch at 10 AM?",sms,0,legit_sms
39,Reminder: Team sync is scheduled for Friday afternoon.,sms,0,legit_sms
40,"Subject: Consultation Hours. Hi John, I am available for project consultation during office hours on Friday afternoon. See you then.",email,0,legit_email
41,Happy birthday David! Wishing you a wonderful and blessed year ahead.,sms,0,legit_sms
42,"Subject: Consultation Hours. Hi Damilare, I am available for project consultation during office hours on next Monday. See you then.",email,0,legit_email
43,"Hey, let me know when you get home safely.",sms,0,legit_sms
44,Your package shipment could not be completed due to incomplete address. Update here: https://verify-account-update.com,sms,1,smishing_sms
45,"Subject: Consultation Hours. Hi Sarah, I am available for project consultation during office hours on tomorrow morning. See you then.",email,0,legit_email
46,"Subject: Assignment Submission: Computer Science 101. Dear Professor, attached is my completed assignment for Computer Science 101. Please confirm receipt. Best regards, Alice",email,0,legit_email
47,"Subject: Weekly Status Report. Hello, here is my progress update for this week on the SIWES Report codebase and database schema.",email,0,legit_email
48,Final Notice: Your subscription to Apple services expires today. Renew immediately: http://update-billing-support.net,sms,1,smishing_sms
49,"Alert: A payment of $50 was charged to your account. If this wasn't you, call +447911123456",sms,1,smishing_sms
50,Your package shipment could not be completed due to incomplete address. Update here: https://claim-reward-now.co,sms,1,smishing_sms
51,Good morning! Let me know when you are ready to review the code.,sms,0,legit_sms
52,Final Notice: Your subscription to Access Bank services expires today. Renew immediately: http://update-billing-support.net,sms,1,smishing_sms
53,Final Notice: Your subscription to Wells Fargo services expires today. Renew immediately: http://track-package-delivery.info,sms,1,smishing_sms
54,"Subject: Assignment Submission: SIWES Report. Dear Professor, attached is my completed assignment for SIWES Report. Please confirm receipt. Best regards, Sarah",email,0,legit_email
55,Happy birthday Alice! Wishing you a wonderful and blessed year ahead.,sms,0,legit_sms
56,Subject: Critical Alert: Unauthorized Transaction. We detected a transfer of 0.5 BTC from your Chase account. Cancel this transaction: http://verify-bank-details.net,email,1,phishing_email
57,"Subject: Project Sync Minutes - Final Year Project. Hi team, thanks for joining the call today. Please review the attached action items and let me know if you have any questions.",email,0,legit_email
58,"Subject: Project Sync Minutes - Computer Science 101. Hi team, thanks for joining the call today. Please review the attached action items and let me know if you have any questions.",email,0,legit_email
59,"Subject: Critical Alert: Unauthorized Transaction. We detected a transfer of $10,000 from your First Bank account. Cancel this transaction: http://verify-bank-details.net",email,1,phishing_email
60,Security Alert: Someone tried logging into your GTBank account from a new device. Secure it: http://bit.ly/secure-login-34,sms,1,smishing_sms
61,"Subject: Assignment Submission: Final Year Project. Dear Professor, attached is my completed assignment for Final Year Project. Please confirm receipt. Best regards, Michael",email,0,legit_email
62,"Dear customer, suspicious activity detected on First Bank profile. Confirm details here: https://claim-reward-now.co",sms,1,smishing_sms
63,Subject: Schedule Update for Final Year Project. Please note that our next class session has been moved to 4:30 PM in Room 402.,email,0,legit_email
64,"Subject: Urgent Security Notice from Access Bank Security Team. Dear User, we noticed unusual login attempts on your account. Please verify your credentials immediately to prevent permanent suspension: https://secure-auth-portal.com",email,1,phishing_email
65,Good morning! Let me know when you are ready to review the code.,sms,0,legit_sms
66,Reminder: Team sync is scheduled for next Monday.,sms,0,legit_sms
67,"Dear customer, suspicious activity detected on Access Bank profile. Confirm details here: http://update-billing-support.net",sms,1,smishing_sms
68,Your package shipment could not be completed due to incomplete address. Update here: https://verify-account-update.com,sms,1,smishing_sms
69,URGENT: Your Netflix account is temporarily locked. Verify your identity immediately at http://update-billing-support.net,sms,1,smishing_sms
70,Happy birthday Bob! Wishing you a wonderful and blessed year ahead.,sms,0,legit_sms
71,Subject: Invoice #88135 - Payment Failed. Your recent payment of 0.5 BTC for order #88135 could not be processed. Update your payment method here: http://update-billing-support.net,email,1,phishing_email
72,"Subject: Consultation Hours. Hi Damilare, I am available for project consultation during office hours on 10 AM. See you then.",email,0,legit_email
73,"Subject: Critical Alert: Unauthorized Transaction. We detected a transfer of ₦50,000 from your Access Bank account. Cancel this transaction: http://update-billing-support.net",email,1,phishing_email
74,"Subject: Consultation Hours. Hi David, I am available for project consultation during office hours on Friday afternoon. See you then.",email,0,legit_email
75,"Subject: Job Offer - Work from Home! Earn up to $5,000 weekly working flexible hours. No experience needed. Contact our recruiter via WhatsApp: +2348012345678",email,1,phishing_email
76,"Dear customer, suspicious activity detected on Chase profile. Confirm details here: https://verify-account-update.com",sms,1,smishing_sms
77,Reminder: Team sync is scheduled for next Monday.,sms,0,legit_sms
78,"Dear customer, suspicious activity detected on Access Bank profile. Confirm details here: https://secure-auth-portal.com",sms,1,smishing_sms
79,Happy birthday Bob! Wishing you a wonderful and blessed year ahead.,sms,0,legit_sms
80,"Congratulations! You have been selected to win $1,250. Claim your prize now: https://claim-reward-now.co",sms,1,smishing_sms
81,Subject: Schedule Update for SIWES Report. Please note that our next class session has been moved to next Monday in Room 402.,email,0,legit_email
82,"Subject: Weekly Status Report. Hello, here is my progress update for this week on the Database Design codebase and database schema.",email,0,legit_email
83,"Hey Chioma, are we still meeting for the project sync at 4:30 PM?",sms,0,legit_sms
84,Your package shipment could not be completed due to incomplete address. Update here: https://claim-reward-now.co,sms,1,smishing_sms
85,"Hey, let me know when you get home safely.",sms,0,legit_sms
86,"Subject: Consultation Hours. Hi Alice, I am available for project consultation during office hours on Friday afternoon. See you then.",email,0,legit_email
