message,label
Dear customer your SBI account will be blocked within 24 hours. Please verify your KYC immediately. Share your OTP and click http://sbi-kyc-update.xyz/verify,1
"This is CBI officer. Your Aadhaar is linked to a money laundering case. You are under digital arrest. Do not tell anyone or your family. Pay fine of Rs 50,000 immediately to avoid arrest warrant.",1
"CONGRATULATIONS! You have won $2,500,000 in the international lottery. To claim your prize money send processing fee via Western Union.",1
This is your CEO. I am in a meeting and need you to buy 5 Google Play gift cards of $100 each right away. Keep this confidential. Send the codes here.,1
FedEx: Your parcel is held at customs. Pay customs clearance fee of Rs 280 to release delivery: http://fedex-parcel-release.top/pay,1
Dear consumer your electricity connection will be disconnected tonight at 9.30 pm because your previous bill was not updated. Immediately contact our officer. Call this number 9812345678.,1
Part-time job offer! Earn Rs 5000 per day from home doing simple tasks. Just like and subscribe YouTube videos and get paid. Join our telegram channel to start. Small refundable registration fee required.,1
Join our crypto trading group! Guaranteed returns of 10% daily. Double your money in one week. 100% risk-free investment. WhatsApp me to start.,1
Your Netflix account has been suspended due to a billing problem. Update your payment information within 24 hours: https://netflix-billing-update.icu/verify,1
Hello I am calling from Paytm support. Your KYC is expired. Install AnyDesk app so I can help you verify your account. Then share the code shown.,1
"You are eligible for a cashback of Rs 1,499. Approve the collect request in your UPI app and enter PIN to receive the money immediately.",1
"My dear, the customs officer needs a clearance fee of $300 to release the package I sent you with the gold jewelry. Send money via MoneyGram today so you can receive it.",1
Security alert: unusual sign-in detected. Reset your password now at https://amaz0n-security.com/reset to avoid account suspension.,1
Your PayPal account is limited. Restore access: http://paypal.com@203.0.113.9/restore. Act now to avoid permanent closure.,1
"This is calling from cyber crime branch. Your Aadhaar number has been linked to a case involving illegal drug parcels. You must cooperate fully and stay on this video call until we complete verification, or a warrant will be issued. Do not tell anyone about this call.",1
FINAL NOTICE: You have an unpaid toll of $6.99. Pay immediately or pay a $50 fine and risk suspension of your driving privileges. Pay now: https://ezpass-toll-payments.com/pay,1
"Hi Tom, quick update - we have switched banks for compliance reasons. Please update your records and send this months payment to the new account within 24 hours to avoid any delay. Let me know once processed.",1
"This is Alex from T-Mobile fraud prevention. We detected an attempt to port your number to a new carrier. To block this and keep your number safe, please read us the verification code that was just sent to your phone.",1
"Congratulations, you have been shortlisted for the Data Entry Assistant remote position, salary $35/hour. Please proceed to our Telegram channel @hr-recruiting-2026 to complete your interview and receive your starter kit.",1
Security alert: verify your account now at https://amaz0n-security.com./reset to avoid suspension,1
Login here to verify your account and avoid suspension: http://[2001:db8::1]/bank-login within 24 hours,1
WARNING: Your computer is infected with a virus and has been blocked. Do not restart your computer. Call Microsoft support technician immediately at this toll-free number to remove the threat.,1
"Grandma, it is me your grandson. I have been in an accident and arrested. I need bail money right now urgently, please do not tell mom or dad, it is an emergency.",1
Your parcel could not be delivered due to an address issue. Scan the QR code below to verify your details and pay the redelivery fee to receive your package.,1
"Your Geek Squad subscription has been renewed for $499.99. If you did not authorize this, call our billing department immediately at 1-888-555-0142 to cancel and get a refund.",1
Have you lost money to a crypto scam? Our recovery team can get your funds back. Just pay a small upfront recovery fee and send your wallet details to start.,1
Aapka SBI khata band ho jayega. Turant KYC update karo aur apna OTP batao warna account block ho jayega.,1
Main CBI se bol raha hoon. Aapka Aadhaar money laundering case me hai. Aap digital arrest me ho. Kisi ko mat batao. Turant 50000 rupaye bhejo warna giraftar kar lenge.,1
Badhai ho! Aap KBC lottery jeet gaye 25 lakh. Inaam pane ke liye processing fees bhejo turant.,1
बधाई हो! आपने 25 लाख की लॉटरी जीती है। इनाम पाने के लिए तुरंत प्रोसेसिंग फीस भेजो।,1
"Your Geek Squad subscription has been renewed for $499.99.
If you did not authorize this charge, call our billing department to get a refund.",1
I recorded you through your webcam on an adult site. Pay me or I send the video to all your contacts. Do not tell anyone.,1
"Fraud alert: a suspicious transaction of $499 is pending on your account. If you did not authorize it, call us immediately to reverse it. Act now to avoid losing your funds.",1
Aapka system infected ho gaya hai. Turant Microsoft technician se baat kare aur is number par call kare.,1
Your account will be suspended. Restore access now: http://vvhatsapp.secure-login.com/verify,1
I want to buy your item. I will send a cashier check for more than the price. Please send the extra back to my shipping agent via Zelle.,1
The apartment is available but I am out of the country. Send the security deposit and first month rent by Zelle and I will ship you the keys.,1
"Your insurance payout of Rs 5,00,000 is ready. Deposit the GST charge of Rs 25,000 to release it.",1
"Unpaid toll notice.
Pay now or face a fine and license suspension.",1
Your Amazon order #171-2903 has shipped and will arrive Thursday. Track it at https://www.amazon.in/orders,0
Your OTP for login is 482913. It is valid for 10 minutes. Do not share it with anyone. - HDFC Bank,0
Reminder: our project sync is at 3pm today in the usual room. Agenda attached. See you there!,0
This week in open source: 5 new releases you should know about. Read the full issue on our website.,0
Flash sale! 40% off all shoes this weekend only. Shop at https://www.nike.com while stocks last.,0
"Hey, are we still on for dinner tomorrow? I found a nice place near the station. Let me know!",0
Your monthly account statement for June is now available in the HDFC Bank app under Statements.,0
Your package from Flipkart is out for delivery and should arrive by 8pm today.,0
ci: build passed for scamlens#42. View the run at https://github.com/user/scamlens/actions,0
"Hi, please find attached the invoice for June services, due on the 15th as usual. Thanks!",0
IT Notice: Your corporate password expires in 3 days. Please update your password via the company portal before it expires to avoid account lockout.,0
Reminder: Please update your password for the Parent Portal before it expires on Friday to keep receiving grade notifications.,0
"Please click the link below to verify your subscription before it expires today, or whatsapp us at this number for help.",0
Welcome! Scan the QR code on your table to view our menu and order. Enjoy your meal!,0
Your ticket is confirmed. Scan the QR code at the entrance to check in. See you at the show!,0
Do not tell mom about the surprise party we are planning for her birthday next week!,0
"Hi mom, it is me. I am at the hospital with grandma, everything is ok, just call me when you can.",0
Your Norton 360 subscription renews on July 10. Your protection keeps your devices safe from viruses. Manage your plan anytime in your account.,0
"Yaar jaldi aana, movie start hone wali hai. Khana khaya kya?",0
"Beta khana kha lena time pe, aur ghar aate waqt doodh le aana.",0
